country,recovered_paper_kt,data_year,rejectedFines_kt
Germany,12398.76,,1859.8139999999999
France,6399.0,,959.8499999999999
Italy,5221.08,,783.1619999999999
Spain,4456.21,,668.4315
Poland,3450.0,,517.5
Netherlands,2124.0,2023,318.59999999999997
Austria,1547.0,2023,232.04999999999998
Switzerland,1141.15,2023,171.1725
Belgium,1116.41,,167.4615
Czechia,1009.0,,151.35
Portugal,969.95,,145.4925
Sweden,926.0,,138.9
Greece,821.28,2023,123.192
Denmark,619.05,2016,92.85749999999999
Norway,533.0,2020,79.95
Finland,460.0,,69.0
Ireland,434.05,2017,65.1075
Slovakia,320.0,,48.0
Slovenia,231.0,,34.65
Lithuania,163.7,,24.554999999999996
Estonia,95.0,,14.25
Latvia,75.0,,11.25
Cyprus,53.13,,7.9695
Malta,32.85,,4.9275
Bulgaria,0.0,2023,0.0
Hungary,0.0,,0.0
Croatia,0.0,,0.0
Romania,0.0,,0.0
Iceland,0.0,2022,0.0
Luxembourg,0.0,2016,0.0
