country,nuts3,potential,year,bark_kton,sawdust_kton
AL,AL111,BASE,2012,0.0,10.18807354189129
AL,AL111,BASE,2020,0.0,10.741222907447371
AL,AL111,BASE,2030,0.0,12.91576586786439
AL,AL111,HIGH,2012,0.0,0.0
AL,AL111,HIGH,2020,0.0,0.0
AL,AL111,HIGH,2030,0.0,0.0
AL,AL111,TECH,2012,0.0,10.18807354189129
AL,AL111,TECH,2020,0.0,10.741222907447371
AL,AL111,TECH,2030,0.0,12.91576586786439
AL,AL111,UD01,2012,0.0,10.18807354189129
AL,AL111,UD01,2020,0.0,10.741222907447371
AL,AL111,UD01,2030,0.0,12.91576586786439
AL,AL111,UD02,2012,0.0,10.18807354189129
AL,AL111,UD02,2020,0.0,10.741222907447371
AL,AL111,UD02,2030,0.0,12.91576586786439
AL,AL111,UD03,2012,0.0,0.0
AL,AL111,UD03,2020,0.0,0.0
AL,AL111,UD03,2030,0.0,0.0
AL,AL111,UD04,2012,0.0,0.0
AL,AL111,UD04,2020,0.0,0.0
AL,AL111,UD04,2030,0.0,0.0
AL,AL111,UD05,2012,0.0,0.0
AL,AL111,UD05,2020,0.0,0.0
AL,AL111,UD05,2030,0.0,0.0
AL,AL111,UD06,2012,0.0,0.0
AL,AL111,UD06,2020,0.0,0.0
AL,AL111,UD06,2030,0.0,0.0
AL,AL111,UD07,2012,0.0,0.0
AL,AL111,UD07,2020,0.0,0.0
AL,AL111,UD07,2030,0.0,0.0
AL,AL111,UD08,2012,0.0,0.0
AL,AL111,UD08,2020,0.0,0.0
AL,AL111,UD08,2030,0.0,0.0
AT,AT111,BASE,2012,0.0,6.302289307699063
AT,AT111,BASE,2020,0.0,5.592132912247476
AT,AT111,BASE,2030,0.0,4.9830191289328125
AT,AT111,HIGH,2012,0.0,0.0
AT,AT111,HIGH,2020,0.0,0.0
AT,AT111,HIGH,2030,0.0,0.0
AT,AT111,TECH,2012,0.0,6.302289307699063
AT,AT111,TECH,2020,0.0,5.592132912247476
AT,AT111,TECH,2030,0.0,4.9830191289328125
AT,AT111,UD01,2012,0.0,6.302289307699063
AT,AT111,UD01,2020,0.0,5.592132912247476
AT,AT111,UD01,2030,0.0,4.9830191289328125
AT,AT111,UD02,2012,0.0,6.302289307699063
AT,AT111,UD02,2020,0.0,5.592132912247476
AT,AT111,UD02,2030,0.0,4.9830191289328125
AT,AT111,UD03,2012,0.0,0.0
AT,AT111,UD03,2020,0.0,0.0
AT,AT111,UD03,2030,0.0,0.0
AT,AT111,UD04,2012,0.0,0.0
AT,AT111,UD04,2020,0.0,0.0
AT,AT111,UD04,2030,0.0,0.0
AT,AT111,UD05,2012,0.0,0.0
AT,AT111,UD05,2020,0.0,0.0
AT,AT111,UD05,2030,0.0,0.0
AT,AT111,UD06,2012,0.0,0.0
AT,AT111,UD06,2020,0.0,0.0
AT,AT111,UD06,2030,0.0,0.0
AT,AT111,UD07,2012,0.0,0.0
AT,AT111,UD07,2020,0.0,0.0
AT,AT111,UD07,2030,0.0,0.0
AT,AT111,UD08,2012,0.0,0.0
AT,AT111,UD08,2020,0.0,0.0
AT,AT111,UD08,2030,0.0,0.0
AT,AT112,BASE,2012,0.0,5.038548082513839
AT,AT112,BASE,2020,0.0,4.4707929430891244
AT,AT112,BASE,2030,0.0,3.983819252242604
AT,AT112,HIGH,2012,0.0,0.0
AT,AT112,HIGH,2020,0.0,0.0
AT,AT112,HIGH,2030,0.0,0.0
