,,score
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",cotton filler production,0.02141790065468193
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",hemp dust filler production,0.0005942192879058974
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",cellulose filler production,0.0009460251802588849
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",AEIEP pea protein isolate production,0.01266454587069313
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",Kiln baking,0.008438176034382815
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",pea protein binder production,0.0031978544699663093
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",mix preparation,0.0027080878807806933
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",3D printing,0.0028609808891118874
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",bark flour filler production,0.0007844532874378575
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",seagrass filler production,0.005175024580649679
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",wood flour filler production,0.0005270084146189994
"('EF v3.1', 'acidification', 'accumulated exceedance (AE)')",Drying with dehumidifying chamber,0.008045529828033688
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",cotton filler production,1.1261532160134955
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",hemp dust filler production,0.21416684171752942
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",cellulose filler production,0.37994472719594086
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",AEIEP pea protein isolate production,2.9575942837476874
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",Kiln baking,1.9874889989796096
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",pea protein binder production,0.5523898715378953
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",mix preparation,0.4936685530661854
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",3D printing,0.5580157635704726
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",bark flour filler production,0.24917303052946968
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",seagrass filler production,2.37273277743936
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",wood flour filler production,0.14169191960429126
"('EF v3.1', 'climate change', 'global warming potential (GWP100)')",Drying with dehumidifying chamber,1.8024682206089855
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",cotton filler production,0.0008367529949365518
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",hemp dust filler production,0.0007468979462775312
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",cellulose filler production,0.0014095780389635746
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",AEIEP pea protein isolate production,0.006254980883424185
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",Kiln baking,0.005607253779257899
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",pea protein binder production,0.0010963847837474586
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",mix preparation,0.001054439898896258
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",3D printing,0.0013008394839065741
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",bark flour filler production,0.0007990224519866518
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",seagrass filler production,0.009375543861412936
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",wood flour filler production,0.00036327202604945045
"('EF v3.1', 'climate change: biogenic', 'global warming potential (GWP100)')",Drying with dehumidifying chamber,0.00486765482420592
"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",cotton filler production,0.8508554414992877
"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",hemp dust filler production,0.21305487083893024
"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",cellulose filler production,0.37788360199847937
"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",AEIEP pea protein isolate production,2.947191972382168
"('EF v3.1', 'climate change: fossil', 'global warming potential (GWP100)')",Kiln baking,1.974531159773397
